Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	2:52 1/6/2022	175
Lana	2:52 1/6/2022	85
Mike	22:46 1/0/2022	149
Jim	22:46 1/0/2022	130
Mike	22:49 1/0/2022	135
Jim	22:49 1/0/2022	122
Tom	22:49 1/0/2022	113
Lana	22:49 1/0/2022	80
Mike	23:23 1/0/2022	145
Jim	23:23 1/0/2022	158
Tom	23:24 1/0/2022	162
Lana	23:24 1/0/2022	114
Mike	23:25 1/0/2022	123
Tom	23:25 1/0/2022	104
Mike	23:34 1/0/2022	108
Mike	23:35 1/0/2022	124
Mike	23:35 1/0/2022	105
Jim	23:35 1/0/2022	175
Jim	23:38 1/0/2022	144
Mike	23:59 1/0/2022	146
Mike	0:7 1/1/2022	146
Mike	10:53 1/1/2022	118
Jim	10:53 1/1/2022	167
Jim	11:35 1/1/2022	154
Jim	11:59 1/1/2022	126
Jim	11:59 1/1/2022	162
Lana	12:5 1/1/2022	124
Jim	12:14 1/1/2022	118
Mike	12:16 1/1/2022	131
Lana	12:19 1/1/2022	112
Mike	12:26 1/1/2022	142
Tom	15:46 1/1/2022	111
Mike	21:58 1/5/2022	117
ira	21:58 1/5/2022	101
Tom	0:12,1/20/3922 	120
Tom	2:10,1/20/3922 	170
Tom	2:13,1/20/3922 	137
Tom	2:22,1/20/3922 	147
Lana	2:37,1/20/3922 	148
Tom	2:38,1/20/3922 	180
